text,label
Local authorities in Berlin confirmed the new crop yields policy will take effect next month. The the World Health Organization reported today that a new vaccine has shown steady growth according to officials. The the Ministry of Health reported today that a asteroid impact has shown steady growth according to officials.,0
"Jakarta residents in PANIC after the Ministry of Health allegedly covers up housing prices scandal, click to see proof. Scientists baffled: a rare disease outbreak linked to the CDC in bizarre secret experiment, media silent!!! Scientists baffled: public transit linked to the national weather service in bizarre secret experiment, media silent!!!",1
"Scientists baffled: cybersecurity linked to the CDC in bizarre secret experiment, media silent!!! BREAKING: secret the CDC documents PROVE public transit conspiracy, share before it's deleted!!! You won't BELIEVE what the local university is hiding about a rare disease outbreak -- shocking truth revealed!!!",1
"You won't BELIEVE what the local university is hiding about public transit -- shocking truth revealed!!! BREAKING: secret a leading tech company documents PROVE crop yields conspiracy, share before it's deleted!!! Anonymous insider at NASA leaks SHOCKING truth about public transit that will change everything.",1
"BREAKING: secret the Department of Education documents PROVE public transit conspiracy, share before it's deleted!!! Jakarta residents in PANIC after the World Health Organization allegedly covers up renewable energy scandal, click to see proof. URGENT WARNING: the central bank insiders admit a new vaccine crisis is far worse than reported, share NOW.",1
"the World Health Organization released its quarterly report on inflation, noting a stable outlook for the region. The the CDC reported today that inflation has shown steady growth according to officials. Researchers at the Department of Education say more data is needed before drawing conclusions about climate change.",0
The city council in Toronto voted to fund additional resources for vaccine safety this year. The city council in Jakarta voted to fund additional resources for a asteroid impact this year. Officials at the World Health Organization held a press conference in Springfield to discuss the renewable energy initiative.,0
"BREAKING: secret a leading tech company documents PROVE unemployment conspiracy, share before it's deleted!!! Berlin residents in PANIC after a leading tech company allegedly covers up housing prices scandal, click to see proof. You won't BELIEVE what the Department of Education is hiding about election results -- shocking truth revealed!!!",1
"A spokesperson for the World Bank clarified the recent changes to a asteroid impact regulations. The city council in Mumbai voted to fund additional resources for election results this year. According to a study published by the national weather service, 5G towers rates have changed modestly this year.",0
"Miracle cure for cybersecurity discovered in Springfield, big pharma and the Ministry of Health don't want you to know. Miracle cure for housing prices discovered in Manila, big pharma and the CDC don't want you to know. Anonymous insider at NASA leaks SHOCKING truth about vaccine safety that will change everything.",1
"BREAKING: secret a leading tech company documents PROVE cybersecurity conspiracy, share before it's deleted!!! Miracle cure for housing prices discovered in Nairobi, big pharma and a leading tech company don't want you to know. Lagos residents in PANIC after NASA allegedly covers up public transit scandal, click to see proof.",1
The the central bank reported today that cybersecurity has shown steady growth according to officials. The NASA reported today that a new vaccine has shown steady growth according to officials. Researchers at the national weather service say more data is needed before drawing conclusions about inflation.,0
"You won't BELIEVE what NASA is hiding about a new vaccine -- shocking truth revealed!!! BREAKING: secret the Department of Education documents PROVE crop yields conspiracy, share before it's deleted!!! Doctors HATE this one weird trick that instantly cures a asteroid impact, a leading tech company refuses to comment.",1
